-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -2.9790                -2.9790    0.3795       15.0000         0.5337             -3.5127           -2.9790                 -2.9790
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
         15          -2.5679                -3.3112    5.1336       90.0000         1.1425             -3.8512           -2.5679                 -3.3112
         16          -3.3891                -3.3891    5.4948       95.0000         0.0000             -3.8512           -3.3891                 -3.3891
         17          -3.2375                -3.3891    5.8617      100.0000         0.3726             -3.8512           -3.2375                 -3.3891
         18          -1.4146                -3.3891    6.1910      105.0000         2.1965             -3.8512           -1.4146                 -3.3891
         19          -0.7088                -3.3891    6.5281      110.0000         3.0748             -3.8512           -0.7088                 -3.3891
         20          -2.4336                -3.3891    6.8729      115.0000         1.2341             -3.8512           -2.4336                 -3.3891
         21          -2.6368                -3.3891    7.2234      120.0000         0.6406             -3.8512           -2.6368                 -3.3891
         22          -2.8087                -3.3891    7.5849      125.0000         0.7679             -3.8512           -2.8087                 -3.3891
         23          -1.9327                -3.3891    7.9513      130.0000         1.6713             -3.8512           -1.9327                 -3.3891
         24          -3.5800                -3.5800    8.3402      135.0000         0.1111             -3.8512           -3.5800                 -3.5800
         25          -2.6415                -3.5800    8.7214      140.0000         0.8218             -3.8512           -2.6415                 -3.5800
         26          -2.0825                -3.5800    9.1998      145.0000         1.5205             -3.8512           -2.0825                 -3.5800
         27          -1.2355                -3.5800    9.6903      150.0000         2.1731             -3.8512           -1.2355                 -3.5800
         28          -3.7179                -3.7179   10.1304      155.0000         0.0931             -3.8512           -3.7179                 -3.7179
         29          -2.3845                -3.7179   10.5787      160.0000         1.1052             -3.8512           -2.3845                 -3.7179
         30          -0.8683                -3.7179   11.0393      165.0000         2.4043             -3.8512           -0.8683                 -3.7179
         31          -2.9887                -3.7179   11.5055      170.0000         0.7282             -3.8512           -2.9887                 -3.7179
         32          -2.2395                -3.7179   11.8916      175.0000         1.1483             -3.8512           -2.2395                 -3.7179
         33          -1.3749                -3.7179   12.3429      180.0000         2.3479             -3.8512           -1.3749                 -3.7179
         34          -2.7926                -3.7179   12.7873      185.0000         0.8167             -3.8512           -2.7926                 -3.7179
         35          -2.5199                -3.7179   13.1356      190.0000         1.1170             -3.8512           -2.5199                 -3.7179
         36          -3.7703                -3.7703   13.5052      195.0000         0.0000             -3.8512           -3.7703                 -3.7703
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -0.2844                -0.5585    0.4817       15.0000         1.6995             -1.9839           -0.2844                 -0.5585
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          1          -1.9151                -1.9151    0.8177       20.0000         0.7868             -2.7020           -1.9151                 -1.9151
          2          -1.1752                -1.9151    1.1567       25.0000         1.4594             -2.7020           -1.1752                 -1.9151
          3          -1.3518                -1.9151    1.4999       30.0000         0.7361             -2.7020           -1.3518                 -1.9151
          4          -0.2738                -1.9151    1.8393       35.0000         1.7780             -2.7020           -0.2738                 -1.9151
          5          -0.2485                -1.9151    2.1848       40.0000         1.7179             -2.7020           -0.2485                 -1.9151
          6          -1.0917                -1.9151    2.5403       45.0000         0.8034             -2.7020           -1.0917                 -1.9151
          7          -0.8258                -1.9151    2.8979       50.0000         1.4155             -2.7020           -0.8258                 -1.9151
          8          -0.6101                -1.9151    3.2657       55.0000         1.0326             -2.7020           -0.6101                 -1.9151
          9          -0.2056                -1.9151    3.6397       60.0000         1.9188             -2.7020           -0.2056                 -1.9151
         10          -0.2294                -1.9151    4.0213       65.0000         1.6099             -2.7020           -0.2294                 -1.9151
         11          -0.2641                -1.9151    4.4106       70.0000         2.2743             -2.7020           -0.2641                 -1.9151
         12          -1.2337                -1.9151    4.7581       75.0000         0.8054             -2.7020           -1.2337                 -1.9151
         13          -0.7130                -1.9151    5.1661       80.0000         1.7076             -2.7020           -0.7130                 -1.9151
         14          -0.6746                -1.9151    5.5808       85.0000         1.8186             -2.7020           -0.6746                 -1.9151
         15          -0.0646                -1.9151    6.0049       90.0000         2.8935             -2.9581           -0.0646                 -1.9151
         16          -0.4798                -1.9151    6.4410       95.0000         1.0193             -2.9581           -0.4798                 -1.9151
         17          -0.0400                -1.9151    6.8843      100.0000         0.8461             -2.9581           -0.0400                 -1.9151
         18          -0.4996                -1.9151    7.3356      105.0000         1.7908             -2.9581           -0.4996                 -1.9151
         19          -0.5093                -1.9151    7.8047      110.0000         1.7897             -2.9581           -0.5093                 -1.9151
         20          -0.8708                -1.9151    8.2870      115.0000         1.9283             -2.9581           -0.8708                 -1.9151
         21          -1.1037                -1.9151    8.7781      120.0000         0.2050             -2.9581           -1.1037                 -1.9151
         22          -0.4512                -1.9151    9.2839      125.0000         1.3612             -2.9581           -0.4512                 -1.9151
         23          -0.1525                -1.9151    9.8004      130.0000         2.1908             -2.9581           -0.1525                 -1.9151
         24          -0.8159                -1.9151   10.3385      135.0000         0.8270             -2.9581           -0.8159                 -1.9151
         25          -1.4141                -1.9151   10.7670      140.0000         1.0814             -2.9581           -1.4141                 -1.9151
         26          -1.0217                -1.9151   11.3270      145.0000         0.9593             -2.9581           -1.0217                 -1.9151
         27          -0.0442                -1.9151   11.8815      150.0000         1.4284             -2.9581           -0.0442                 -1.9151
         28          -1.9803                -1.9803   12.4029      155.0000         0.4503             -2.9581           -1.9803                 -1.9803
         29          -0.8574                -1.9803   12.9059      160.0000         1.4332             -2.9581           -0.8574                 -1.9803
         30          -0.5616                -1.9803   13.4237      165.0000         1.7438             -2.9581           -0.5616                 -1.9803
         31          -1.7460                -1.9803   13.8660      170.0000         0.4387             -2.9581           -1.7460                 -1.9803
         32          -0.6655                -1.9803   14.3250      175.0000         1.8280             -2.9581           -0.6655                 -1.9803
         33          -0.5568                -1.9803   14.7858      180.0000         2.2120             -2.9581           -0.5568                 -1.9803
         34          -0.7608                -1.9803   15.2276      185.0000         1.0724             -2.9581           -0.7608                 -1.9803
         35          -1.6173                -1.9803   15.8081      190.0000         0.4948             -2.9581           -1.6173                 -1.9803
         36          -2.2991                -2.2991   16.3332      195.0000         0.0000             -2.9581           -2.2991                 -2.2991
         37          -0.5385                -2.2991   16.7322      200.0000         1.4010             -2.9581           -0.5385                 -2.2991
         38          -1.9743                -2.2991   17.1203      205.0000         0.0000             -2.9581           -1.9743                 -2.2991
         39          -1.5727                -2.2991   17.5392      210.0000         0.1394             -2.9581           -1.5727                 -2.2991
         40          -1.2182                -2.2991   17.9784      215.0000         0.9029             -2.9581           -1.2182                 -2.2991
         41          -0.3110                -2.2991   18.4102      220.0000         1.2420             -2.9581           -0.3110                 -2.2991
         42          -1.3116                -2.2991   18.8599      225.0000         0.2495             -2.9581           -1.3116                 -2.2991
         43          -0.4880                -2.2991   19.2601      230.0000         2.2132             -2.9581           -0.4880                 -2.2991
         44          -0.3015                -2.2991   19.6985      235.0000         1.7381             -2.9581           -0.3015                 -2.2991
         45          -0.1988                -2.2991   20.1343      240.0000         1.7886             -2.9581           -0.1988                 -2.2991
         46          -2.1070                -2.2991   20.5815      245.0000         0.0000             -2.9581           -2.1070                 -2.2991
         47          -0.2213                -2.2991   21.0185      250.0000         1.1372             -2.9581           -0.2213                 -2.2991
         48          -0.9628                -2.2991   21.4899      255.0000         0.2097             -2.9581           -0.9628                 -2.2991
         49          -1.1635                -2.2991   21.9493      260.0000         0.6256             -2.9581           -1.1635                 -2.2991
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -0.1535                -0.2705    0.4028       15.0000         1.1367             -1.2902           -0.1535                 -0.2705
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          1          -0.3571                -0.3571    0.7027       20.0000         1.4833             -1.8404           -0.3571                 -0.3571
          2          -0.2298                -0.3571    1.0576       25.0000         1.6007             -1.8404           -0.2298                 -0.3571
          3          -0.5992                -0.5992    1.4211       30.0000         1.7299             -2.3291           -0.5992                 -0.5992
          4          -0.2506                -0.5992    1.7872       35.0000         1.5737             -2.3291           -0.2506                 -0.5992
          5          -0.2806                -0.5992    2.1631       40.0000         2.6409             -2.9215           -0.2806                 -0.5992
          6          -0.0815                -0.5992    2.5440       45.0000         2.0867             -2.9215           -0.0815                 -0.5992
